CustomerKey,CustomerCode,CustomerName,CustomerLabel,CustomerType,Education,Occupation
13,11012,"Walker, Lauren","Walker, Lauren",Individual,Bachelors,Management
14,11013,"Jenkins, Ian","Jenkins, Ian",Individual,Bachelors,Management
15,11014,"Bennett, Sydney","Bennett, Sydney",Individual,Bachelors,Management
16,11015,"Young, Chloe","Young, Chloe",Individual,Partial College,Skilled Manual
17,11016,"Hill, Wyatt","Hill, Wyatt",Individual,Partial College,Skilled Manual
41,11040,"Murphy, Jesse","Murphy, Jesse",Individual,Partial College,Skilled Manual
82,11081,"Baker, Savannah","Baker, Savannah",Individual,Bachelors,Management
83,11082,"Butler, Angela","Butler, Angela",Individual,Graduate Degree,Management
84,11083,"Cox, Alyssa","Cox, Alyssa",Individual,Graduate Degree,Management
88,11087,"Liang, Tamara","Liang, Tamara",Individual,Partial College,Professional
89,11088,"Davis, Hunter","Davis, Hunter",Individual,Bachelors,Management
90,11089,"Price, Abigail","Price, Abigail",Individual,Bachelors,Management
91,11090,"Bryant, Trevor","Bryant, Trevor",Individual,Partial College,Professional
128,11127,"Edwards, Jan","Edwards, Jan",Individual,High School,Skilled Manual
129,11128,"Long, Samantha","Long, Samantha",Individual,High School,Skilled Manual
130,11129,"Wright, Julia","Wright, Julia",Individual,High School,Skilled Manual
131,11130,"Russell, Caroline","Russell, Caroline",Individual,High School,Skilled Manual
134,11133,"Griffin, Angela","Griffin, Angela",Individual,Partial High School,Clerical
136,11135,"Harris, Marcus","Harris, Marcus",Individual,Partial High School,Clerical
138,11137,"Taylor, Jasmine","Taylor, Jasmine",Individual,High School,Skilled Manual
139,11138,"Davis, Lauren","Davis, Lauren",Individual,High School,Skilled Manual
141,11140,"Alvarez, Javier","Alvarez, Javier",Individual,Partial High School,Clerical
142,11141,"Ramirez, Nicole","Ramirez, Nicole",Individual,High School,Skilled Manual
144,11143,"Henderson, Jonathan","Henderson, Jonathan",Individual,High School,Skilled Manual
145,11144,"Hernandez, Edward","Hernandez, Edward",Individual,High School,Skilled Manual
146,11145,"Coleman, Jasmine","Coleman, Jasmine",Individual,High School,Skilled Manual
153,11152,"Williams, James","Williams, James",Individual,High School,Skilled Manual
154,11153,"James, Angela","James, Angela",Individual,High School,Skilled Manual
155,11154,"Walker, Megan","Walker, Megan",Individual,Partial College,Skilled Manual
156,11155,"Robinson, Hunter","Robinson, Hunter",Individual,Partial College,Skilled Manual
157,11156,"Roberts, Maria","Roberts, Maria",Individual,Partial College,Skilled Manual
158,11157,"Long, Hannah","Long, Hannah",Individual,High School,Skilled Manual
159,11158,"Wright, Jason","Wright, Jason",Individual,High School,Skilled Manual
160,11159,"Hughes, Brianna","Hughes, Brianna",Individual,High School,Skilled Manual
161,11160,"Tang, Maurice","Tang, Maurice",Individual,Partial College,Skilled Manual
162,11161,"Wood, Emily","Wood, Emily",Individual,Partial College,Skilled Manual
163,11162,"Cox, Chase","Cox, Chase",Individual,Partial College,Skilled Manual
164,11163,"Wang, Gabriel","Wang, Gabriel",Individual,Partial College,Skilled Manual
165,11164,"Brooks, Devin","Brooks, Devin",Individual,Partial College,Skilled Manual
166,11165,"Alexander, Jocelyn","Alexander, Jocelyn",Individual,Partial College,Skilled Manual
167,11166,"Martinez, Ashley","Martinez, Ashley",Individual,Partial College,Skilled Manual
168,11167,"Barnes, Jasmine","Barnes, Jasmine",Individual,Bachelors,Management
169,11168,"Rodriguez, David","Rodriguez, David",Individual,Bachelors,Management
170,11169,"Richardson, Bryce","Richardson, Bryce",Individual,Bachelors,Management
171,11170,"Howard, Carol","Howard, Carol",Individual,Bachelors,Management
172,11171,"Hill, Jonathan","Hill, Jonathan",Individual,Bachelors,Management
173,11172,"Adams, Gabrielle","Adams, Gabrielle",Individual,Bachelors,Management
174,11173,"Thomas, Sarah","Thomas, Sarah",Individual,Graduate Degree,Management
175,11174,"Robinson, Nicholas","Robinson, Nicholas",Individual,Graduate Degree,Management
176,11175,"Wang, Luis","Wang, Luis",Individual,Partial College,Skilled Manual
178,11177,"Flores, Jose","Flores, Jose",Individual,Graduate Degree,Management
179,11178,"Johnson, Nathan","Johnson, Nathan",Individual,Graduate Degree,Management
